ref	pos	stat
cc6m_2244_T7_ecorv	18	0
cc6m_2244_T7_ecorv	19	0
cc6m_2244_T7_ecorv	20	0
cc6m_2244_T7_ecorv	21	1
cc6m_2244_T7_ecorv	22	0
cc6m_2244_T7_ecorv	23	0
cc6m_2244_T7_ecorv	24	0
cc6m_2244_T7_ecorv	25	1
cc6m_2244_T7_ecorv	26	0
cc6m_2244_T7_ecorv	27	0
cc6m_2244_T7_ecorv	28	0
cc6m_2244_T7_ecorv	29	0.5
cc6m_2244_T7_ecorv	30	0
cc6m_2244_T7_ecorv	31	0
cc6m_2244_T7_ecorv	32	0.5
cc6m_2244_T7_ecorv	33	0
cc6m_2244_T7_ecorv	34	0
cc6m_2244_T7_ecorv	35	0
cc6m_2244_T7_ecorv	36	0.0270291307478254
cc6m_2244_T7_ecorv	37	0
cc6m_2244_T7_ecorv	38	0
cc6m_2244_T7_ecorv	39	0.0193446466894523
cc6m_2244_T7_ecorv	40	0.01887
cc6m_2244_T7_ecorv	41	0.0052621631569
cc6m_2244_T7_ecorv	42	0.01047
cc6m_2244_T7_ecorv	43	0.0151455157394575
cc6m_2244_T7_ecorv	44	0
cc6m_2244_T7_ecorv	45	0.0355288031041687
cc6m_2244_T7_ecorv	46	0.0102
cc6m_2244_T7_ecorv	47	0.00999900999901
cc6m_2244_T7_ecorv	48	0
cc6m_2244_T7_ecorv	49	0.0344868557849399
cc6m_2244_T7_ecorv	50	0.00490581433532684
cc6m_2244_T7_ecorv	51	0.02451
cc6m_2244_T7_ecorv	52	0.0384656878610449
cc6m_2244_T7_ecorv	53	0.0146283212259926
cc6m_2244_T7_ecorv	54	0.114280163201865
cc6m_2244_T7_ecorv	55	0.21569
cc6m_2244_T7_ecorv	56	0.0292665936909145
cc6m_2244_T7_ecorv	57	0.014639853601464
cc6m_2244_T7_ecorv	58	0.0631120133747313
cc6m_2244_T7_ecorv	59	0.200001952381417
cc6m_2244_T7_ecorv	60	0.165046224884811
cc6m_2244_T7_ecorv	61	0.0714278741494939
cc6m_2244_T7_ecorv	62	0.746482262131624
cc6m_2244_T7_ecorv	63	0.14563
cc6m_2244_T7_ecorv	64	0.23786
cc6m_2244_T7_ecorv	65	0.01456
cc6m_2244_T7_ecorv	66	0.061026915674536
cc6m_2244_T7_ecorv	67	0.0533905339053391
cc6m_2244_T7_ecorv	68	0.0288402495790829
cc6m_2244_T7_ecorv	69	0.028980289802898
cc6m_2244_T7_ecorv	70	0.0336478175195557
cc6m_2244_T7_ecorv	71	0.0669829447536795
